IP,Port,Status,LatencyMS,Protocol,Error
192.168.1.133,8082,DEAD,5803.37,http,
192.168.1.150,8099,DEAD,5799.58,http,
192.168.1.91,8040,DEAD,5803.85,http,
192.168.1.90,8039,DEAD,5804.08,http,
192.168.1.89,8038,DEAD,5804.29,http,
192.168.1.88,8037,DEAD,5804.5,http,
192.168.1.87,8036,DEAD,5804.71,http,
192.168.1.86,8035,DEAD,5804.92,http,
192.168.1.73,8022,DEAD,5805.2,http,
192.168.1.77,8026,DEAD,5807.15,http,
192.168.1.60,8009,DEAD,5805.98,http,
192.168.1.113,8062,DEAD,5803.22,http,
192.168.1.66,8015,DEAD,5806.35,http,
192.168.1.63,8012,DEAD,5807.9,http,
192.168.1.76,8025,DEAD,5806.81,http,
192.168.1.102,8051,DEAD,5809.07,http,
192.168.1.100,8049,DEAD,5804.67,http,
192.168.1.74,8023,DEAD,5807.42,http,
192.168.1.93,8042,DEAD,5807.54,http,
192.168.1.72,8021,DEAD,5807.66,http,
192.168.1.92,8041,DEAD,5805.73,http,
192.168.1.70,8019,DEAD,5807.89,http,
192.168.1.59,8008,DEAD,5808.01,http,
192.168.1.79,8028,DEAD,5808.13,http,
192.168.1.149,8098,DEAD,5809.79,http,
192.168.1.78,8027,DEAD,5808.77,http,
192.168.1.75,8024,DEAD,5807.42,http,
192.168.1.135,8084,DEAD,5808.91,http,
192.168.1.103,8052,DEAD,5809.05,http,
192.168.1.62,8011,DEAD,5809.18,http,
192.168.1.71,8020,DEAD,5807.88,http,
192.168.1.155,8004,DEAD,5801.26,http,
192.168.1.156,8005,DEAD,5800.2,http,
192.168.1.157,8006,DEAD,5800.66,http,
192.168.1.158,8007,DEAD,5800.4,http,
10.0.0.8,3128,DEAD,5797.71,http,
192.168.1.182,8031,DEAD,5796.9,http,
192.168.1.166,8015,DEAD,5795.85,http,
192.168.1.168,8017,DEAD,5794.0,http,
192.168.1.220,8069,DEAD,5790.15,http,
192.168.1.217,8066,DEAD,5788.1,http,
192.168.1.169,8018,DEAD,5788.23,http,
192.168.1.175,8024,DEAD,5788.34,http,
192.168.1.216,8065,DEAD,5788.45,http,
192.168.1.224,8073,DEAD,5788.56,http,
192.168.1.198,8047,DEAD,5788.67,http,
10.0.0.5,3128,DEAD,5788.78,http,
10.0.0.4,3128,DEAD,5788.9,http,
10.0.0.9,3128,DEAD,5789.02,http,
10.0.0.1,3128,DEAD,5789.13,http,
192.168.1.230,8079,DEAD,5789.24,http,
192.168.1.229,8078,DEAD,5789.35,http,
192.168.1.228,8077,DEAD,5789.46,http,
192.168.1.227,8076,DEAD,5789.57,http,
10.0.0.6,3128,DEAD,5789.69,http,
192.168.1.225,8074,DEAD,5789.81,http,
192.168.1.163,8012,DEAD,5789.93,http,
192.168.1.223,8072,DEAD,5790.04,http,
192.168.1.222,8071,DEAD,5790.15,http,
192.168.1.219,8068,DEAD,5790.48,http,
192.168.1.221,8070,DEAD,5790.28,http,
192.168.1.218,8067,DEAD,5790.6,http,
10.0.0.10,3128,DEAD,5790.74,http,
192.168.1.215,8064,DEAD,5790.88,http,
192.168.1.213,8062,DEAD,5791.0,http,
192.168.1.212,8061,DEAD,5791.12,http,
192.168.1.211,8060,DEAD,5791.24,http,
192.168.1.210,8059,DEAD,5791.39,http,
192.168.1.209,8058,DEAD,5791.53,http,
192.168.1.208,8057,DEAD,5791.68,http,
192.168.1.207,8056,DEAD,5791.83,http,
192.168.1.206,8055,DEAD,5791.99,http,
192.168.1.205,8054,DEAD,5792.16,http,
10.0.0.7,3128,DEAD,5792.37,http,
192.168.1.203,8052,DEAD,5792.49,http,
192.168.1.185,8034,DEAD,5788.31,http,
192.168.1.200,8049,DEAD,5792.71,http,
192.168.1.199,8048,DEAD,5792.82,http,
192.168.1.204,8053,DEAD,5792.94,http,
192.168.1.197,8046,DEAD,5793.05,http,
192.168.1.164,8013,DEAD,5793.16,http,
192.168.1.195,8044,DEAD,5793.27,http,
192.168.1.194,8043,DEAD,5793.39,http,
10.0.0.3,3128,DEAD,5793.52,http,
192.168.1.192,8041,DEAD,5793.64,http,
192.168.1.191,8040,DEAD,5793.76,http,
192.168.1.190,8039,DEAD,5793.89,http,
192.168.1.189,8038,DEAD,5794.01,http,
192.168.1.188,8037,DEAD,5794.12,http,
192.168.1.187,8036,DEAD,5794.25,http,
192.168.1.183,8032,DEAD,5794.6,http,
192.168.1.186,8035,DEAD,5794.39,http,
192.168.1.184,8033,DEAD,5794.73,http,
192.168.1.180,8029,DEAD,5794.86,http,
192.168.1.179,8028,DEAD,5794.97,http,
192.168.1.178,8027,DEAD,5795.09,http,
192.168.1.196,8045,DEAD,5795.22,http,
192.168.1.176,8025,DEAD,5795.35,http,
192.168.1.202,8051,DEAD,5792.77,http,
192.168.1.174,8023,DEAD,5795.59,http,
192.168.1.193,8042,DEAD,5795.7,http,
192.168.1.172,8021,DEAD,5795.82,http,
192.168.1.171,8020,DEAD,5795.96,http,
192.168.1.170,8019,DEAD,5796.09,http,
192.168.1.160,8009,DEAD,5796.22,http,
192.168.1.201,8050,DEAD,5796.61,http,
192.168.1.167,8016,DEAD,5796.37,http,
192.168.1.177,8026,DEAD,5796.74,http,
192.168.1.173,8022,DEAD,5796.86,http,
192.168.1.159,8008,DEAD,5795.55,http,
192.168.1.161,8010,DEAD,5797.14,http,
192.168.1.165,8014,DEAD,5797.3,http,
192.168.1.181,8030,DEAD,5797.73,http,
192.168.1.226,8075,DEAD,5797.45,http,
192.168.1.162,8011,DEAD,5797.03,http,
192.168.1.214,8063,DEAD,5797.92,http,
10.0.0.2,3128,DEAD,5798.11,http,
